国,ポジション,選手名,所属チーム名,チームランキング,チームパワー,エリア,小さい
イングランド,MF,エベレチ・エゼ,アーセナル,1,100,ヨーロッパ,イングランド
イングランド,MF,デクラン・ライス,アーセナル,1,100,ヨーロッパ,イングランド
イングランド,FW,ノニ・マドゥエケ,アーセナル,1,100,ヨーロッパ,イングランド
イングランド,FW,ブカヨ・サカ,アーセナル,1,100,ヨーロッパ,イングランド
エクアドル,DF,ピエロ・インカピエ,アーセナル,1,100,ヨーロッパ,イングランド
スウェーデン,FW,ヴィクトル・ギェケレシュ,アーセナル,1,100,ヨーロッパ,イングランド
スペイン,GK,ダビド・ラヤ,アーセナル,1,100,ヨーロッパ,イングランド
スペイン,MF,マルティン・スビメンディ,アーセナル,1,100,ヨーロッパ,イングランド
スペイン,MF,ミケル・メリーノ,アーセナル,1,100,ヨーロッパ,イングランド
ドイツ,MF,カイ・ハヴェルツ,アーセナル,1,100,ヨーロッパ,イングランド
ノルウェー,MF,マルティン・ウーデゴール,アーセナル,1,100,ヨーロッパ,イングランド
ブラジル,DF,ガブリエウ・マガリャンイス,アーセナル,1,100,ヨーロッパ,イングランド
ブラジル,FW,ガブリエウ・マルティネッリ,アーセナル,1,100,ヨーロッパ,イングランド
フランス,DF,ウィリアン・サリバ,アーセナル,1,100,ヨーロッパ,イングランド
ベルギー,FW,レアンドロ・トロサール,アーセナル,1,100,ヨーロッパ,イングランド
イングランド,FW,ハリー・ケイン,バイエルン・ミュンヘン,2,100,ヨーロッパ,ドイツ
オーストリア,MF,コンラート・ライマー,バイエルン・ミュンヘン,2,100,ヨーロッパ,ドイツ
カナダ,DF,アルフォンソ・デイヴィス,バイエルン・ミュンヘン,2,100,ヨーロッパ,ドイツ
クロアチア,DF,ヨシプ・スタニシッチ,バイエルン・ミュンヘン,2,100,ヨーロッパ,ドイツ
コロンビア,FW,ルイス・ディアス,バイエルン・ミュンヘン,2,100,ヨーロッパ,ドイツ
セネガル,FW,ニコラス・ジャクソン,バイエルン・ミュンヘン,2,100,ヨーロッパ,ドイツ
セネガル,MF,バラ・サポコ・エンディアイェ,バイエルン・ミュンヘン,2,100,ヨーロッパ,ドイツ
ドイツ,MF,アレクサンダル・パブロヴィッチ,バイエルン・ミュンヘン,2,100,ヨーロッパ,ドイツ
ドイツ,MF,ジャマル・ムシアラ,バイエルン・ミュンヘン,2,100,ヨーロッパ,ドイツ
ドイツ,GK,マヌエル・ノイアー,バイエルン・ミュンヘン,2,100,ヨーロッパ,ドイツ
ドイツ,DF,ヨシュア・キミッヒ,バイエルン・ミュンヘン,2,100,ヨーロッパ,ドイツ
ドイツ,DF,ヨナサン・ター,バイエルン・ミュンヘン,2,100,ヨーロッパ,ドイツ
ドイツ,MF,レオン・ゴレツカ,バイエルン・ミュンヘン,2,100,ヨーロッパ,ドイツ
フランス,DF,ダヨ・ウパメカノ,バイエルン・ミュンヘン,2,100,ヨーロッパ,ドイツ
フランス,FW,マイケル・オリーセ,バイエルン・ミュンヘン,2,100,ヨーロッパ,ドイツ
